Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Property Type,Latitude,Longitude
4182000,3500,267,4,5,4,4,1,0,1,0,Vila Mariana/São Paulo,sale,apartment,-23.586491,-46.645731
4125000,0,275,4,5,4,4,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.549316,-46.692097
4100000,3900,295,5,6,4,4,0,0,1,0,Perdizes/São Paulo,sale,apartment,-23.539891,-46.672997
4000000,4500,298,4,5,4,5,0,0,1,0,Moema/São Paulo,sale,apartment,-23.6002441,-46.6646246
3998000,3176,265,3,3,2,4,1,1,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.541946,-46.726951
3910000,2144,220,3,4,3,4,1,0,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.553929,-46.714272
3850000,0,200,2,4,2,3,1,0,1,0,Iguatemi/São Paulo,sale,apartment,-23.584482,-46.682312
3850000,0,200,2,4,2,3,0,0,1,0,Itaim Bibi/São Paulo,sale,apartment,-23.583169,-46.686281
3850000,0,620,4,5,4,5,0,0,0,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.5367747,-46.7127925
3830000,3500,250,4,6,4,4,1,0,1,0,Perdizes/São Paulo,sale,apartment,-23.537677,-46.667233
3800000,0,320,3,4,3,4,1,0,1,0,Santa Cecília/São Paulo,sale,apartment,-23.540912,-46.663029
3800000,2500,310,4,6,4,4,1,0,1,0,Campo Belo/São Paulo,sale,apartment,-23.623907,-46.675494
3800000,4100,230,4,5,4,4,1,0,1,0,Moema/São Paulo,sale,apartment,0,0
3800000,0,280,4,4,3,4,1,0,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.5507825,-46.6984545
3800000,2700,258,4,5,4,4,1,0,1,0,Perdizes/São Paulo,sale,apartment,-23.544461,-46.6879067
3800000,4874,420,4,3,2,3,0,0,0,0,Bela Vista/São Paulo,sale,apartment,0,0
3770000,4040,257,3,4,3,4,0,0,1,0,Moema/São Paulo,sale,apartment,-23.5995651,-46.660746
3750000,2567,274,3,2,3,4,1,0,1,0,Campo Belo/São Paulo,sale,apartment,-23.624841,-46.673925
3700000,2100,210,4,7,3,3,1,1,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.600786,-46.680126
3700000,0,300,4,5,4,6,0,0,1,0,Tatuapé/São Paulo,sale,apartment,-23.55461502,-46.56124115
3691000,0,206,4,5,1,4,1,0,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.545237,-46.705143
